"metric","count","total","rate"
"sample_size","20","20","1.00"
"semantic_coherence_good","15","20","0.75"
"semantic_coherence_partial","5","20","0.25"
"context_complete_yes","3","20","0.15"
"context_complete_partial","12","20","0.60"
"context_complete_no","5","20","0.25"
"reference_noise_yes","0","20","0.00"
"medical_conditions_preserved_yes","2","20","0.10"
"medical_conditions_preserved_partial","10","20","0.50"
"medical_conditions_not_applicable","8","20","0.40"
"usable_for_retrieval_yes","4","20","0.20"
"usable_for_retrieval_partial","11","20","0.55"
"usable_for_retrieval_no","5","20","0.25"
