run_id,scope,query_id,answerability,gold_count,support_count,first_gold_rank,first_relevant_rank,hit_at_1,hit_at_3,hit_at_5,recall_at_5,relevant_hit_at_5,top1_score,top1_chunk_id
qwen3_embedding_0_6b_dense_v1,pilot,RET-001,answerable,2,0,1,1,1,1,1,1.0,1,0.778554,SRC001-T002-KNEE-SIGNS
qwen3_embedding_0_6b_dense_v1,pilot,RET-002,answerable,1,1,1,1,1,1,1,1.0,1,0.685897,SRC001-T002-KNEE-SYMPTOMS
qwen3_embedding_0_6b_dense_v1,pilot,RET-003,answerable,1,3,1,1,1,1,1,1.0,1,0.814981,SRC001-T003-KNEE-DIAGNOSIS
qwen3_embedding_0_6b_dense_v1,pilot,RET-004,answerable,1,2,3,1,0,1,1,1.0,1,0.765365,SRC001-T003-KNEE-DIAGNOSIS
qwen3_embedding_0_6b_dense_v1,pilot,RET-005,answerable,1,3,1,1,1,1,1,1.0,1,0.820904,SRC001-T003-KNEE-DIAGNOSIS
qwen3_embedding_0_6b_dense_v1,pilot,RET-006,answerable,2,3,,,0,0,0,0.0,0,0.581927,SRC001-SEC-024-C01
qwen3_embedding_0_6b_dense_v1,pilot,RET-007,answerable,1,1,2,1,0,1,1,1.0,1,0.662029,SRC003-QR-022-023-C02
qwen3_embedding_0_6b_dense_v1,pilot,RET-008,answerable,1,1,1,1,1,1,1,1.0,1,0.720447,SRC001-SEC-023-C01
qwen3_embedding_0_6b_dense_v1,pilot,RET-009,answerable,1,2,1,1,1,1,1,1.0,1,0.679414,SRC003-QR-027-031-C01
qwen3_embedding_0_6b_dense_v1,pilot,RET-010,answerable,1,1,1,1,1,1,1,1.0,1,0.732468,SRC003-QR-014-015-C01
qwen3_embedding_0_6b_dense_v1,pilot,RET-011,answerable,2,2,1,1,1,1,1,1.0,1,0.728914,SRC003-QR-027-029-C01
qwen3_embedding_0_6b_dense_v1,pilot,RET-012,unanswerable,0,0,,,,,,,,0.590917,SRC001-SEC-049-C01
