source_id,title,pdf_page_number,default_detected_count,default_markdown_files,default_error,text_strategy_detected_count,text_strategy_markdown_files,text_strategy_error,layout_markdown_table_markers,layout_markdown_file,manual_has_table,manual_best_method,manual_readability,review_notes
SRC001,中国骨关节炎诊疗指南（2024版）,1,0,,,0,,,0,src001_page_001.md,,,,
SRC001,中国骨关节炎诊疗指南（2024版）,2,0,,,0,,,0,src001_page_002.md,,,,
SRC001,中国骨关节炎诊疗指南（2024版）,3,1,src001_page_003_table_01.md,,1,src001_page_003_table_01.md,,1,src001_page_003.md,,,,
SRC001,中国骨关节炎诊疗指南（2024版）,4,2,src001_page_004_table_01.md; src001_page_004_table_02.md,,2,src001_page_004_table_01.md; src001_page_004_table_02.md,,2,src001_page_004.md,,,,
SRC001,中国骨关节炎诊疗指南（2024版）,5,1,src001_page_005_table_01.md,,1,src001_page_005_table_01.md,,1,src001_page_005.md,,,,
SRC001,中国骨关节炎诊疗指南（2024版）,6,2,src001_page_006_table_01.md; src001_page_006_table_02.md,,2,src001_page_006_table_01.md; src001_page_006_table_02.md,,2,src001_page_006.md,,,,
SRC001,中国骨关节炎诊疗指南（2024版）,7,2,src001_page_007_table_01.md; src001_page_007_table_02.md,,2,src001_page_007_table_01.md; src001_page_007_table_02.md,,2,src001_page_007.md,,,,
SRC001,中国骨关节炎诊疗指南（2024版）,8,0,,,0,,,0,src001_page_008.md,,,,
SRC001,中国骨关节炎诊疗指南（2024版）,9,0,,,0,,,0,src001_page_009.md,,,,
SRC001,中国骨关节炎诊疗指南（2024版）,10,0,,,0,,,0,src001_page_010.md,,,,
SRC001,中国骨关节炎诊疗指南（2024版）,11,0,,,0,,,0,src001_page_011.md,,,,
SRC001,中国骨关节炎诊疗指南（2024版）,12,0,,,0,,,0,src001_page_012.md,,,,
SRC001,中国骨关节炎诊疗指南（2024版）,13,0,,,0,,,0,src001_page_013.md,,,,
SRC001,中国骨关节炎诊疗指南（2024版）,14,0,,,0,,,0,src001_page_014.md,,,,
SRC001,中国骨关节炎诊疗指南（2024版）,15,0,,,0,,,0,src001_page_015.md,,,,
SRC001,中国骨关节炎诊疗指南（2024版）,16,0,,,0,,,0,src001_page_016.md,,,,
SRC002,骨关节炎诊疗规范,1,0,,,0,,,0,src002_page_001.md,,,,
SRC002,骨关节炎诊疗规范,2,0,,,0,,,0,src002_page_002.md,,,,
SRC002,骨关节炎诊疗规范,3,0,,,0,,,0,src002_page_003.md,,,,
SRC002,骨关节炎诊疗规范,4,0,,,0,,,0,src002_page_004.md,,,,
SRC002,骨关节炎诊疗规范,5,1,src002_page_005_table_01.md,,1,src002_page_005_table_01.md,,1,src002_page_005.md,,,,
SRC002,骨关节炎诊疗规范,6,0,,,0,,,0,src002_page_006.md,,,,
SRC002,骨关节炎诊疗规范,7,0,,,0,,,0,src002_page_007.md,,,,
SRC002,骨关节炎诊疗规范,8,0,,,0,,,0,src002_page_008.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,1,0,,,0,,,0,src003_page_001.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,2,0,,,0,,,0,src003_page_002.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,3,1,src003_page_003_table_01.md,,1,src003_page_003_table_01.md,,1,src003_page_003.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,4,0,,,0,,,0,src003_page_004.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,5,0,,,0,,,0,src003_page_005.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,6,0,,,0,,,0,src003_page_006.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,7,0,,,0,,,0,src003_page_007.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,8,0,,,0,,,0,src003_page_008.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,9,0,,,0,,,0,src003_page_009.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,10,0,,,0,,,0,src003_page_010.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,11,0,,,0,,,0,src003_page_011.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,12,0,,,0,,,0,src003_page_012.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,13,0,,,0,,,0,src003_page_013.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,14,0,,,0,,,0,src003_page_014.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,15,0,,,0,,,0,src003_page_015.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,16,0,,,0,,,0,src003_page_016.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,17,0,,,0,,,0,src003_page_017.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,18,0,,,0,,,0,src003_page_018.md,,,,
SRC003,中国膝骨关节炎临床药物治疗专家共识（2023）,19,0,,,0,,,0,src003_page_019.md,,,,
SRC004,早期膝骨关节炎诊断与非手术治疗指南（2024版）,1,0,,,0,,,0,src004_page_001.md,,,,
SRC004,早期膝骨关节炎诊断与非手术治疗指南（2024版）,2,0,,,0,,,0,src004_page_002.md,,,,
SRC004,早期膝骨关节炎诊断与非手术治疗指南（2024版）,3,2,src004_page_003_table_01.md; src004_page_003_table_02.md,,2,src004_page_003_table_01.md; src004_page_003_table_02.md,,2,src004_page_003.md,,,,
SRC004,早期膝骨关节炎诊断与非手术治疗指南（2024版）,4,1,src004_page_004_table_01.md,,1,src004_page_004_table_01.md,,1,src004_page_004.md,,,,
SRC004,早期膝骨关节炎诊断与非手术治疗指南（2024版）,5,0,,,0,,,0,src004_page_005.md,,,,
SRC004,早期膝骨关节炎诊断与非手术治疗指南（2024版）,6,0,,,0,,,0,src004_page_006.md,,,,
SRC004,早期膝骨关节炎诊断与非手术治疗指南（2024版）,7,0,,,0,,,0,src004_page_007.md,,,,
SRC004,早期膝骨关节炎诊断与非手术治疗指南（2024版）,8,0,,,0,,,0,src004_page_008.md,,,,
SRC004,早期膝骨关节炎诊断与非手术治疗指南（2024版）,9,0,,,0,,,0,src004_page_009.md,,,,
SRC004,早期膝骨关节炎诊断与非手术治疗指南（2024版）,10,0,,,0,,,0,src004_page_010.md,,,,
SRC004,早期膝骨关节炎诊断与非手术治疗指南（2024版）,11,0,,,0,,,0,src004_page_011.md,,,,
SRC004,早期膝骨关节炎诊断与非手术治疗指南（2024版）,12,0,,,0,,,0,src004_page_012.md,,,,
